Episode,Total Reward,Epsilon
311,103.0,0.210
312,98.8,0.209
313,102.7,0.208
314,-9.99999999999998,0.207
315,-10.59999999999998,0.206
316,-9.99999999999998,0.205
317,102.1,0.204
318,-8.499999999999988,0.203
319,100.6,0.202
320,107.2,0.201
321,100.6,0.200
322,99.7,0.199
323,104.4,0.198
324,113.30000000000001,0.197
325,101.2,0.196
326,100.8,0.195
327,101.4,0.194
328,99.7,0.193
329,101.8,0.192
330,103.3,0.191
331,9.100000000000012,0.190
332,100.8,0.189
333,80.80000000000013,0.188
334,101.7,0.187
335,100.5,0.187
336,-6.099999999999995,0.186
337,100.6,0.185
338,102.7,0.184
339,106.7,0.183
340,-10.399999999999979,0.182
341,101.2,0.181
342,105.1,0.180
343,-10.599999999999982,0.179
344,99.4,0.178
345,101.2,0.177
346,101.7,0.177
347,100.6,0.176
348,-3.9000000000000044,0.175
349,108.6,0.174
350,103.0,0.173
351,99.4,0.172
352,-10.19999999999998,0.171
353,-4.200000000000003,0.170
354,101.2,0.170
355,102.1,0.169
356,80.19999999999999,0.168
357,-10.39999999999998,0.167
358,4.200000000000026,0.166
359,99.7,0.165
360,99.7,0.165
361,-11.199999999999982,0.164
362,101.2,0.163
363,100.6,0.162
364,101.8,0.161
365,100.6,0.160
366,101.8,0.160
367,98.5,0.159
368,104.2,0.158
369,103.5,0.157
370,-10.399999999999979,0.157
371,101.2,0.156
372,100.0,0.155
373,102.9,0.154
374,101.8,0.153
375,101.8,0.153
376,104.7,0.152
377,101.8,0.151
378,100.0,0.150
379,100.6,0.150
380,39.19999999999991,0.149
381,103.2,0.148
382,101.6,0.147
383,101.2,0.147
384,105.1,0.146
385,-10.59999999999998,0.145
386,101.8,0.144
387,101.8,0.144
388,-10.199999999999982,0.143
389,101.2,0.142
390,101.2,0.142
391,-10.399999999999979,0.141
392,101.2,0.140
393,99.7,0.139
394,-10.39999999999998,0.139
395,-10.59999999999998,0.138
396,102.9,0.137
397,99.4,0.137
398,101.2,0.136
399,103.6,0.135
400,101.2,0.135
401,117.19999999999999,0.134
402,-10.199999999999982,0.133
403,-10.199999999999982,0.133
404,56.099999999999966,0.132
405,101.2,0.131
406,99.7,0.131
407,101.8,0.130
408,103.3,0.129
409,101.8,0.129
410,100.4,0.128
411,-10.199999999999982,0.127
412,-10.199999999999982,0.127
413,106.5,0.126
414,22.10000000000002,0.126
415,100.9,0.125
416,-12.39999999999998,0.124
417,100.9,0.124
418,101.5,0.123
419,-10.799999999999981,0.122
420,101.3,0.122
421,101.2,0.121
422,101.2,0.121
423,107.7,0.120
424,103.6,0.119
425,-10.399999999999983,0.119
426,-8.499999999999982,0.118
427,29.699999999999918,0.118
428,24.99999999999995,0.117
429,-10.39999999999998,0.116
430,100.9,0.116
431,2.6000000000000245,0.115
432,101.8,0.115
433,-10.39999999999998,0.114
434,102.7,0.114
435,99.7,0.113
436,31.099999999999916,0.112
437,-10.19999999999998,0.112
438,-10.39999999999998,0.111
439,107.4,0.111
440,100.9,0.110
441,-10.39999999999998,0.110
442,100.8,0.109
443,17.69999999999992,0.109
444,101.2,0.108
445,-6.799999999999983,0.107
446,111.20000000000019,0.107
447,100.6,0.106
448,100.5,0.106
449,1.3000000000000154,0.105
450,9.700000000000015,0.105
451,104.0,0.104
452,101.2,0.104
453,3.700000000000007,0.103
454,101.2,0.103
455,102.3,0.102
456,99.7,0.102
457,101.2,0.101
458,102.1,0.101
459,104.2,0.100
460,101.5,0.100
461,99.7,0.099
462,101.2,0.099
463,101.2,0.098
464,99.7,0.098
465,131.3,0.097
466,99.7,0.097
467,102.0,0.096
468,101.8,0.096
469,4.500000000000032,0.095
470,101.8,0.095
471,101.8,0.094
472,88.20000000000022,0.094
473,102.7,0.093
474,100.0,0.093
475,-4.6000000000000005,0.092
476,105.3,0.092
477,-10.39999999999998,0.092
478,101.2,0.091
479,6.6000000000000245,0.091
480,102.7,0.090
481,99.7,0.090
482,101.2,0.089
483,14.899999999999924,0.089
484,101.2,0.088
485,101.9,0.088
486,101.8,0.088
487,124.5,0.087
488,75.39999999999999,0.087
489,-10.599999999999978,0.086
490,100.0,0.086
491,101.2,0.085
492,100.8,0.085
493,-10.399999999999983,0.084
494,-10.999999999999982,0.084
495,101.2,0.084
496,99.7,0.083
497,-10.399999999999983,0.083
498,102.7,0.082
499,104.2,0.082
500,101.2,0.082
501,101.8,0.081
502,101.2,0.081
503,102.4,0.080
504,99.7,0.080
505,79.4,0.080
506,100.0,0.079
507,101.8,0.079
508,100.0,0.078
509,102.7,0.078
510,101.8,0.078
511,101.5,0.077
512,99.7,0.077
513,-11.599999999999982,0.076
514,66.8,0.076
515,-10.199999999999982,0.076
516,101.2,0.075
517,104.7,0.075
518,103.5,0.075
519,-0.09999999999998455,0.074
520,99.7,0.074
521,100.4,0.073
522,106.60000000000001,0.073
523,102.1,0.073
524,104.2,0.072
525,103.8,0.072
526,-10.799999999999983,0.072
527,101.2,0.071
528,101.8,0.071
529,101.2,0.071
530,102.4,0.070
531,101.2,0.070
532,100.0,0.069
533,50.89999999999999,0.069
534,99.7,0.069
535,101.8,0.068
536,101.8,0.068
537,101.8,0.068
538,100.2,0.067
539,99.7,0.067
540,39.39999999999997,0.067
541,100.6,0.066
542,-10.299999999999986,0.066
543,101.7,0.066
544,103.6,0.065
545,101.2,0.065
546,101.2,0.065
547,106.7,0.064
548,101.2,0.064
549,100.0,0.064
550,103.8,0.063
551,103.6,0.063
552,99.7,0.063
553,102.7,0.063
554,87.10000000000021,0.062
555,101.2,0.062
556,101.8,0.062
557,101.2,0.061
558,102.3,0.061
559,100.6,0.061
560,99.7,0.060
561,101.2,0.060
562,-10.39999999999998,0.060
563,-10.39999999999998,0.059
564,99.7,0.059
565,3.90000000000003,0.059
566,100.0,0.059
567,-10.39999999999998,0.058
568,140.1,0.058
569,101.2,0.058
570,101.8,0.057
571,-10.39999999999998,0.057
572,101.2,0.057
573,69.10000000000001,0.057
574,100.8,0.056
575,-10.199999999999982,0.056
576,101.2,0.056
577,-10.39999999999998,0.055
578,99.4,0.055
579,101.4,0.055
580,101.8,0.055
581,101.8,0.054
582,101.8,0.054
583,101.2,0.054
584,104.4,0.054
585,161.00000000000003,0.053
586,101.8,0.053
587,101.2,0.053
588,99.3,0.052
589,73.3,0.052
590,99.4,0.052
591,103.3,0.052
592,-9.49999999999999,0.051
593,101.8,0.051
594,100.6,0.051
595,101.2,0.051
596,101.8,0.050
597,101.2,0.050
598,100.6,0.050
599,100.3,0.050
600,102.9,0.049
601,100.1,0.049
602,-10.39999999999998,0.049
603,-10.39999999999998,0.049
604,101.2,0.048
605,103.6,0.048
606,100.0,0.048
607,101.8,0.048
608,100.6,0.047
609,101.4,0.047
610,100.6,0.047
611,100.6,0.047
612,101.8,0.047
613,101.2,0.046
614,102.1,0.046
615,9.999999999999995,0.046
616,99.9,0.046
617,99.7,0.045
618,100.5,0.045
619,102.1,0.045
620,32.89999999999998,0.045
621,102.7,0.044
622,68.9,0.044
623,101.8,0.044
624,-10.79999999999998,0.044
625,101.2,0.044
626,100.6,0.043
627,100.9,0.043
628,104.4,0.043
629,100.6,0.043
630,50.79999999999997,0.043
631,101.2,0.042
632,98.6,0.042
633,101.4,0.042
